Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,1.03,Industrial (Acidic Rain),0.1,8.49,0.1,5.0,0.580587,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.18,Rural (Freshwater),0.01,3.015,0.1,0.3,0.005548,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Lead,Lead,7,0.26,Rural (Freshwater),0.01,0.122,0.1,0.3,0.000317,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Nickel (passive),"Nickel, Cobalt",16,0.91,Rural (Freshwater),0.01,2.268,0.1,2.0,0.019002,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Marine (Seawater),5.0,0.589,2.0,10.0,0.023143,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Silver solder,Silver,18,0.28,Rural (Freshwater),0.01,0.801,0.3,10.0,0.002223,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Rural (Freshwater),0.01,2.137,0.3,5.0,0.001611,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chlorimet 2,"Nickel, Cobalt",16,0.25,Industrial (Acidic Rain),0.1,0.051,5.0,2.0,0.000761,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.16,Rural (Freshwater),0.01,25.557,1.0,10.0,0.034251,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Tin,"Tin, Tin-Lead, Indium",8,0.15,Marine (Seawater),5.0,2.801,5.0,0.3,0.074416,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver,Silver,18,0.77,Industrial (Acidic Rain),0.1,0.287,0.1,10.0,0.011275,Unfavorable
Titanium,Titanium,17,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.16,Rural (Freshwater),0.01,10.14,10.0,10.0,0.013508,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Industrial (Acidic Rain),0.1,18.37,2.0,2.0,0.064294,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Marine (Seawater),5.0,1.689,0.3,1.0,0.479391,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.07,Rural (Freshwater),0.01,0.696,1.0,5.0,0.000437,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.47,Marine (Seawater),5.0,3.576,0.3,5.0,0.296269,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.32,Marine (Seawater),5.0,0.291,0.3,5.0,0.018156,Compatible
Magnesium and magnesium alloys,Magnesium,1,Graphite,Graphite,20,1.73,Industrial (Acidic Rain),0.1,1.637,0.1,10.0,0.139295,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Industrial (Acidic Rain),0.1,1.3,0.3,2.0,0.028383,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.3,Marine (Seawater),5.0,0.283,5.0,10.0,0.006125,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Titanium,Titanium,17,0.24,Industrial (Acidic Rain),0.1,2.765,1.0,10.0,0.032266,Compatible
Titanium,Titanium,17,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.1,Marine (Seawater),5.0,0.17,10.0,10.0,0.000874,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.38,Industrial (Acidic Rain),0.1,1.727,0.1,2.0,0.049529,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.48,Industrial (Acidic Rain),0.1,0.937,0.3,10.0,0.020258,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.3,Rural (Freshwater),0.01,0.13,0.1,0.1,0.000392,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.37,Industrial (Acidic Rain),0.1,0.174,0.3,1.0,0.005227,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.28,Industrial (Acidic Rain),0.1,14.633,2.0,5.0,0.234357,Compatible
Copper,"Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.16,Rural (Freshwater),0.01,0.191,1.0,2.0,0.000289,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Chlorimet 2,"Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,0.664,0.3,2.0,0.000861,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver solder,Silver,18,0.59,Rural (Freshwater),0.01,0.542,0.1,10.0,0.003127,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.31,Rural (Freshwater),0.01,3.665,1.0,10.0,0.010207,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.49,Industrial (Acidic Rain),0.1,0.247,0.3,2.0,0.009224,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.13,Marine (Seawater),5.0,0.315,2.0,1.0,0.0133,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.65,Industrial (Acidic Rain),0.1,3.144,0.1,2.0,0.166341,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Silver,Silver,18,0.22,Marine (Seawater),5.0,0.58,1.0,10.0,0.011245,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.21,Marine (Seawater),5.0,1.854,1.0,10.0,0.035335,Compatible
Magnesium and magnesium alloys,Magnesium,1,Silver solder,Silver,18,1.46,Marine (Seawater),5.0,1.895,0.1,10.0,0.290206,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.31,Industrial (Acidic Rain),0.1,1.317,1.0,10.0,0.017618,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.77,Marine (Seawater),5.0,1.959,0.3,10.0,0.150253,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Marine (Seawater),5.0,6.446,5.0,2.0,0.052088,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.38,Rural (Freshwater),0.01,0.932,5.0,1.0,0.003432,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.72,Industrial (Acidic Rain),0.1,2.402,0.3,10.0,0.088641,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Rural (Freshwater),0.01,2.426,0.3,5.0,0.001844,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,2.85,5.0,2.0,0.0758,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.49,Marine (Seawater),5.0,0.6,0.3,2.0,0.112684,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Industrial (Acidic Rain),0.1,7.273,2.0,1.0,0.10434,Compatible
Cadmium,"Cadmium, Beryllium",3,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.62,Marine (Seawater),5.0,1.689,0.1,5.0,0.187774,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Industrial (Acidic Rain),0.1,0.679,5.0,1.0,0.012765,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Marine (Seawater),5.0,10.272,0.3,0.3,1.799348,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.1,Rural (Freshwater),0.01,2.065,1.0,5.0,0.002001,Compatible
Zinc,"Zinc, Zinc Coating",2,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.7,Marine (Seawater),5.0,0.189,0.1,2.0,0.053128,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.26,Rural (Freshwater),0.01,0.097,2.0,10.0,0.000237,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Marine (Seawater),5.0,2.524,5.0,5.0,0.009832,Compatible
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Rural (Freshwater),0.01,3.926,0.1,5.0,0.017913,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Chlorimet 2,"Nickel, Cobalt",16,0.05,Marine (Seawater),5.0,0.498,2.0,2.0,0.006002,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Marine (Seawater),5.0,5.913,2.0,10.0,0.089936,Compatible
Lead,Lead,7,Silver solder,Silver,18,0.33,Rural (Freshwater),0.01,0.27,0.3,10.0,0.000837,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,3.34,1.0,2.0,0.138858,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Titanium,Titanium,17,0.67,Marine (Seawater),5.0,2.944,0.3,10.0,0.193088,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chlorimet 2,"Nickel, Cobalt",16,0.41,Rural (Freshwater),0.01,0.487,0.1,2.0,0.001609,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.37,Rural (Freshwater),0.01,0.46,0.3,5.0,0.00166,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.77,Industrial (Acidic Rain),0.1,0.131,0.3,10.0,0.004188,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,1.48,Rural (Freshwater),0.01,0.277,0.1,1.0,0.004131,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Industrial (Acidic Rain),0.1,2.059,2.0,2.0,0.043503,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.54,Rural (Freshwater),0.01,0.838,0.1,1.0,0.004473,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Marine (Seawater),5.0,2.585,2.0,10.0,0.039925,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Rural (Freshwater),0.01,0.502,0.3,2.0,0.002247,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Industrial (Acidic Rain),0.1,0.124,5.0,1.0,0.002831,Compatible
